;Bubble Random 0-5;Bubble Random 0-4000;Bubble Almost Sorted;Bubble Reversed Sorted;Selection Random 0-5;Selection Random 0-4000;Selection Almost Sorted;Selection Reversed Sorted;Insertion Random 0-5;Insertion Random 0-4000;Insertion Almost Sorted;Insertion Reversed Sorted;Counting Random 0-5;Counting Random 0-4000;Counting Almost Sorted;Counting Reversed Sorted;Radix Random 0-5;Radix Random 0-4000;Radix Almost Sorted;Radix Reversed Sorted;Merge Random 0-5;Merge Random 0-4000;Merge Almost Sorted;Merge Reversed Sorted;Quick Random 0-5;Quick Random 0-4000;Quick Almost Sorted;Quick Reversed Sorted;Heap Random 0-5;Heap Random 0-4000;Heap Almost Sorted;Heap Reversed Sorted
100;56;50;24;58;26;34;25;27;31;35;18;34;3;17;6;7;11;12;4;4;490;496;441;439;12;15;9;9;10;11;12;10
1100;7082;6972;3182;8099;3101;3171;3212;3538;2377;2460;2150;2501;27;42;31;31;33;57;57;59;6037;6230;5846;6069;150;198;81;85;177;218;201;190
2100;22578;24320;10642;26615;11702;11082;10583;10872;8177;8386;7904;8425;56;82;60;60;65;110;110;110;11987;13044;11147;11345;337;405;157;192;330;476;424;390
3100;50243;54297;23182;60594;23305;23258;24439;24577;17568;17891;16947;18674;78;97;117;86;95;165;158;167;18322;19699;17314;16975;438;582;326;368;538;770;702;655
4100;88034;95251;39504;101421;40879;41140;41379;41679;31959;31927;28973;32548;103;124;117;117;126;264;216;228;23105;24506;22048;22149;592;829;342;330;709;957;903;832
